mode,scope,group,metric,stock_days,codes,days,nxt_mean,krx_mean,delta_mean,delta_median,delta_q25,delta_q75,nxt_lower_pct,nxt_stock_median,krx_stock_median,cluster_se,ci95_low,ci95_high,p_value,cluster_df
resume5,common_minutes,3_high,es_bp,16606,215,84,23.251586705522946,17.36981379876886,5.8817729067540885,4.469172936429448,2.2099287247444597,7.959076454840007,3.793809466457907,22.36073338555181,17.308396173971044,0.3193596455306714,5.246579416382587,6.51696639712559,4.678399015118951e-31,83
resume5,common_minutes,3_high,es_bp_v2,16606,215,84,22.190895209121322,18.185099385689057,4.00579582343227,2.5773647987552426,0.4058594948809029,6.099009522644236,20.149343610743106,20.894976123464176,17.963196343213838,0.3077927379068472,3.3936084471055556,4.617983199758984,9.587728867764265e-22,83
resume5,common_minutes,3_high,rs15_bp,16606,215,84,2.5390626598164587,-0.7971816316754768,3.3362442914919357,2.2099773655138266,-1.9225542099776214,7.637510532058094,36.19775984583885,1.9548436337516,-0.7670636655052829,0.4103225682146343,2.5201292064148486,4.152359376569023,3.570805652320791e-12,83
resume5,common_minutes,3_high,rs60_bp,16606,215,84,-5.1710496846961185,-2.3391021247469324,-2.831947559949187,-2.72065395168626,-7.650029832086824,2.2330350290428864,64.56100204745273,-4.4960497257589225,-2.4155939263104353,0.31589839115733925,-3.4602567545831757,-2.2036383653151983,7.681975815778107e-14,83
resume5,common_minutes,3_high,rs300_bp,16606,215,84,-8.019994508599936,-2.6277625356940884,-5.392231972905846,-4.320257744559916,-13.04309002257187,3.125045816103666,65.15115018667952,-6.636174876159781,-2.1970900119208276,0.3720023103520708,-6.132129606328354,-4.652334339483339,1.86803108036259e-24,83
resume5,common_minutes,3_high,pi15_bp,16606,215,84,20.70820633501716,18.1585424232029,2.5496639118142554,2.095879558237174,-1.5894256233285615,6.168156169280897,34.97531012886908,19.609563633893107,17.73433923367401,0.25344722783688056,2.045567569249809,3.0537602543787017,5.000760936662719e-16,83
resume5,common_minutes,3_high,pi60_bp,16606,215,84,28.41283708510354,19.681156622343508,8.731680462760034,7.521867714302109,2.7298479094133086,13.444014620134936,14.32012525593159,26.52030369021355,18.99857997119873,0.3747367970948232,7.98634404518677,9.477016880333299,3.6071019477168437e-38,83
resume5,common_minutes,3_high,pi300_bp,16606,215,84,31.264205708101052,19.9453921767679,11.318813531333152,9.402266733828705,1.5953702296566457,19.403906351764444,20.823798627002287,28.96548816431267,18.51491516011029,0.5155636254488752,10.293378216194048,12.344248846472256,2.5514953769992012e-36,83
resume5,common_minutes,3_high,quoted_spread_bp,16606,215,84,23.71888324436855,18.285096367376394,5.433786876992156,3.8294970403528588,1.789682194221899,7.3637503584573345,2.1618692039022043,22.294842713592207,17.851879939122597,0.36071052068561715,4.716348159062422,6.15122559492189,1.8254170785143543e-25,83
resume5,common_minutes,3_high,depth_krw,16606,215,84,71008048.14387746,115281412.90208694,-44273364.75820948,-6175507.848987554,-23218761.352852106,-1529845.7270811223,89.96748163314464,12107986.501721537,19886096.79108536,18199849.370903347,-80472133.16218248,-8074596.354236491,0.017139000960211277,83
